Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GoodFloorAreaSFabovegrade,TotalFinishedAreaSF,BsmtFullBath,TotalBathroomsAboveGrade,TotalBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotalRooms_bathroomas1,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,TotalPorchArea,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,agebyyrbuilt,agebyyrremodel,OA2,TotalGrBsmtSF
1597,90,RL,78,15600,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,Duplx,2Story,5,1950,1991,Gable,CompShg,VinylSd,VinylSd,BrkFace,430,TA,Gd,CBlock,TA,TA,No,ALQ,375,Unf,657,1032,GasA,Ex,Y,SBrkr,1102,1075,2177,2552,0,2.5,2.5,5,2,TA,10,11,Typ,0,No Fireplace,Detchd,1950,Unf,2,TA,TA,Y,0,0,0,0,No Pool,No Fence,None,0,3,2010,WD,Normal,60,19,4123,3209
1598,80,RL,85,19645,Pave,No Alley Access,IR1,Lvl,AllPub,FR2,Gtl,Crawfor,Norm,Norm,1Fam,SLvl,7,1994,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,44,TA,TA,PConc,Gd,TA,No,GLQ,343,Unf,80,423,GasA,Ex,Y,SBrkr,896,756,1652,1995,1,2.5,3.5,3,1,Gd,8,6,Typ,0,No Fireplace,BuiltIn,1994,RFn,2,TA,TA,Y,0,0,0,0,No Pool,No Fence,None,0,6,2010,WD,Normal,16,3,2592,2075
1599,120,RM,35,3907,Pave,No Alley Access,IR1,HLS,AllPub,Inside,Mod,Blueste,Norm,Norm,TwnhsE,1Story,8,1989,1989,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,747,Unf,235,982,GasA,Gd,Y,SBrkr,1034,0,1034,1781,1,1,2,1,1,Gd,4,4,Typ,1,TA,Attchd,1989,Fin,2,TA,TA,Y,141,36,36,0,No Pool,No Fence,None,0,4,2010,WD,Normal,21,21,2614,2016
1600,120,RM,35,3907,Pave,No Alley Access,IR1,HLS,AllPub,Inside,Mod,Blueste,Norm,Norm,TwnhsE,1Story,8,1989,1989,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,CBlock,Gd,TA,Av,GLQ,76,Unf,1115,1191,GasA,Gd,Y,SBrkr,1191,0,1191,1267,0,2,2,2,1,Gd,5,5,Typ,1,TA,Attchd,1989,Unf,2,TA,TA,Y,112,81,81,0,No Pool,No Fence,None,0,3,2010,WD,Normal,21,21,2913,2382
1601,30,RM,58,8154,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,2,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,BLQ,480,Unf,0,480,GasA,TA,Y,SBrkr,540,0,540,1020,0,1,1,1,1,TA,3,4,Typ,0,No Fireplace,Detchd,1951,Unf,1,Fa,Fa,N,0,0,0,0,No Pool,No Fence,None,0,4,2010,ConLw,Normal,69,60,1220,1020
1602,50,RM,50,9140,Pave,No Alley Access,Reg,HLS,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,1921,1975,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,Mn,BLQ,308,Unf,321,629,GasA,Fa,Y,SBrkr,727,380,1107,1415,0,1,1,2,1,TA,4,5,Typ,0,No Fireplace,Detchd,1950,Unf,1,TA,TA,Y,0,56,256,0,No Pool,MnPrv,None,0,4,2010,COD,Normal,89,35,2361,1736
1603,30,C,66,8712,Grvl,No Alley Access,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,1896,1950,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,Fa,Fa,CBlock,TA,TA,No,Unf,0,Unf,756,756,GasA,Gd,Y,SBrkr,952,0,952,952,0,1,1,3,1,TA,5,5,Typ,0,No Fireplace,Detchd,1896,RFn,1,TA,TA,N,0,0,265,0,No Pool,No Fence,None,0,6,2010,WD,Alloca,114,60,2038,1708
1604,120,RM,44,3811,Pave,No Alley Access,IR1,HLS,AllPub,Corner,Mod,Crawfor,Artery,Norm,TwnhsE,1Story,8,2004,2005,Hip,CompShg,CemntBd,CemntBd,Stone,186,Gd,TA,PConc,Ex,TA,Gd,GLQ,1373,Unf,221,1594,GasA,Ex,Y,SBrkr,1646,0,1646,3019,1,2,3.5,2,1,Gd,7,5,Typ,1,Gd,Attchd,2004,Fin,2,TA,TA,Y,128,53,208,0,No Pool,No Fence,None,0,5,2010,WD,Normal,6,5,3951,3240
1605,60,RL,85,11050,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,8,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,615,Unf,434,1049,GasA,Ex,Y,SBrkr,1036,880,1916,2531,1,2.5,3.5,3,1,Gd,8,8,Typ,1,TA,Attchd,1998,Unf,3,TA,TA,Y,0,70,70,0,No Pool,No Fence,None,0,5,2010,WD,Normal,12,11,3706,2965
1606,80,RL,74,9620,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,679,Unf,564,1243,GasA,TA,Y,SBrkr,1285,0,1285,1964,0,2,2.5,3,1,Gd,7,6,Typ,1,Fa,Attchd,1977,Unf,2,TA,TA,Y,375,26,26,0,No Pool,GdPrv,Shed,80,5,2010,WD,Normal,33,33,3001,2528
1607,90,RL,0,12760,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplx,1Story,6,1976,1976,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,1958,1958,GasA,TA,Y,SBrkr,2048,0,2048,2048,0,3,3,5,2,TA,10,9,Typ,0,No Fireplace,2Types,1976,Unf,2,TA,TA,Y,0,0,0,0,No Pool,No Fence,None,0,3,2010,ConLD,Normal,34,34,4782,4006
1608,20,RL,88,11896,Pave,No Alley Access,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60,Gd,TA,PConc,Gd,TA,No,GLQ,78,Unf,1258,1336,GasA,Ex,Y,SBrkr,1346,0,1346,1424,1,2,3,3,1,Gd,7,6,Typ,1,TA,Attchd,2008,Fin,3,TA,TA,Y,100,48,48,0,No Pool,No Fence,None,0,5,2010,WD,Normal,2,2,3402,2682
1609,20,RL,73,9803,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,7,2009,2010,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1214,1214,GasA,Ex,Y,SBrkr,1214,0,1214,1214,0,2,2,2,1,Gd,5,6,Typ,0,No Fireplace,Attchd,2010,RFn,2,TA,TA,Y,0,25,25,0,No Pool,No Fence,None,0,1,2010,New,Partial,1,0,2948,2428
1610,60,RL,73,9802,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,384,384,GasA,Gd,Y,SBrkr,744,700,1444,1444,0,2.5,2.5,3,1,TA,7,7,Typ,0,No Fireplace,BuiltIn,2007,Fin,2,TA,TA,Y,100,0,0,0,No Pool,No Fence,None,0,4,2010,WD,Normal,4,3,2228,1828
1611,20,RL,85,15300,Pave,No Alley Access,Reg,Bnk,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,1965,1977,Hip,CompShg,Plywood,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Rec,42,Unf,1026,1068,GasA,TA,Y,SBrkr,1264,0,1264,1306,1,1,2,2,1,TA,5,7,Typ,1,TA,Attchd,1965,Unf,2,TA,TA,Y,0,0,0,0,No Pool,No Fence,None,0,6,2010,WD,Normal,45,33,2860,2332
1612,20,RL,93,10114,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Ex,TA,Av,Unf,0,Unf,1430,1430,GasA,Ex,Y,SBrkr,1430,0,1430,1430,0,2,2,3,1,Gd,6,7,Typ,0,No Fireplace,Attchd,2004,RFn,2,TA,TA,Y,0,0,0,0,No Pool,No Fence,None,0,3,2010,WD,Normal,6,5,3484,2860
1613,20,RL,0,11875,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,1344,1344,GasA,Ex,Y,SBrkr,1344,0,1344,1344,0,2,2,3,1,TA,6,7,Typ,1,Gd,Attchd,2001,Unf,2,TA,TA,Y,328,0,0,0,No Pool,No Fence,None,0,6,2010,WD,Normal,11,11,3374,2688
1614,120,RM,31,2394,Pave,No Alley Access,Reg,Low,AllPub,Inside,Mod,MeadowV,Norm,Norm,TwnhsI,1Story,5,1973,1973,Gable,CompShg,CemntBd,CemntBd,None,0,TA,TA,CBlock,Gd,TA,Gd,GLQ,915,Unf,30,945,GasA,Ex,Y,SBrkr,945,0,945,1860,1,1,2.5,2,1,TA,6,5,Typ,1,Po,Attchd,1973,RFn,1,TA,TA,Y,174,0,164,0,No Pool,No Fence,None,0,5,2010,WD,Normal,37,37,2143,1890
1615,160,RM,21,1476,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsI,2Story,4,1970,1970,Gable,CompShg,CemntBd,CemntBd,None,0,TA,TA,CBlock,TA,TA,No,GLQ,176,Unf,370,546,GasA,Ex,Y,SBrkr,546,546,1092,1268,0,1.5,1.5,3,1,TA,6,5,Typ,0,No Fireplace,No Garage,1950,No Garage,0,No Garage,No Garage,Y,200,26,26,0,No Pool,No Fence,None,0,3,2010,WD,Normal,40,40,1638,1638
1616,160,RM,21,1900,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,4,1970,1970,Gable,CompShg,CemntBd,CemntBd,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,546,546,GasA,Ex,Y,SBrkr,546,546,1092,1092,0,1.5,1.5,3,1,TA,6,5,Typ,0,No Fireplace,No Garage,1950,No Garage,0,No Garage,No Garage,Y,0,0,0,0,No Pool,No Fence,None,0,6,2010,WD,Normal,40,40,1638,1638
1617,160,RM,21,1890,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,4,1972,1972,Gable,CompShg,CemntBd,CemntBd,None,0,TA,TA,CBlock,TA,TA,No,Rec,294,Unf,252,546,GasA,TA,Y,SBrkr,546,546,1092,1386,0,1.5,1.5,3,1,TA,6,5,Typ,0,No Fireplace,Attchd,1972,Unf,1,TA,TA,Y,0,0,64,0,No Pool,No Fence,None,0,6,2010,WD,Normal,38,38,1924,1638
1618,20,RL,50,6953,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,1971,2004,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,No,ALQ,469,Unf,395,864,GasA,Ex,Y,SBrkr,874,0,874,1343,0,1,1,3,1,TA,5,5,Typ,0,No Fireplace,Detchd,1971,Unf,1,TA,TA,Y,0,0,0,0,No Pool,No Fence,None,0,6,2010,ConLD,Normal,39,6,2090,1738
1619,20,RL,76,12887,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,1984,1984,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,Gd,TA,Mn,Rec,207,GLQ,36,833,GasA,TA,Y,SBrkr,833,0,833,1630,1,1,2,2,1,Gd,5,5,Typ,0,No Fireplace,Attchd,1984,Unf,2,TA,TA,Y,431,0,0,0,No Pool,MnPrv,None,0,4,2010,WD,Normal,26,26,2161,1666
1620,90,RL,70,7700,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplx,2Story,5,1985,1986,Gable,CompShg,HdBoard,HdBoard,None,0,TA,Po,PConc,TA,TA,No,Unf,0,Unf,1216,1216,GasA,Gd,Y,SBrkr,1216,1216,2432,2432,0,5,5,4,2,TA,12,10,Typ,0,No Fireplace,Attchd,1985,Unf,2,TA,Fa,Y,200,0,0,0,No Pool,No Fence,Shed,600,2,2010,WD,Normal,25,24,4264,3648
1621,60,RL,63,10475,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,No,Rec,458,Unf,166,624,GasA,Gd,Y,SBrkr,624,650,1274,1732,0,1.5,1.5,3,1,TA,6,6,Typ,0,No Fireplace,Detchd,1993,Unf,2,TA,TA,Y,22,0,0,0,No Pool,GdWo,None,0,3,2010,WD,Normal,19,19,2474,1898
1622,50,RL,68,10544,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1.5Fin,5,1969,1969,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,Av,BLQ,476,Unf,388,864,GasA,TA,Y,SBrkr,864,615,1479,1955,0,2,2,5,1,TA,8,8,Typ,0,No Fireplace,Attchd,1969,Fin,1,TA,TA,Y,287,0,280,0,No Pool,No Fence,None,0,4,2010,WD,Normal,41,41,2618,2343
1623,20,RL,76,9892,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,8,1994,1995,Hip,CompShg,VinylSd,VinylSd,None,0,Gd,Gd,PConc,Gd,Gd,Gd,GLQ,1341,LwQ,54,1679,GasA,Ex,Y,SBrkr,1803,0,1803,3428,1,2.5,4,3,1,Gd,9,6,Typ,2,TA,Attchd,1994,Unf,2,TA,TA,Y,129,64,286,0,No Pool,GdWo,None,0,2,2010,WD,Normal,16,15,3964,3482
1624,60,RL,74,12961,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,6,1993,1994,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,Gd,PConc,Gd,TA,Mn,GLQ,944,Unf,208,1152,GasA,Ex,Y,SBrkr,1152,645,1797,2741,1,2.5,3.5,3,1,Gd,8,7,Typ,1,Fa,Attchd,1993,Fin,2,TA,TA,Y,162,312,312,0,No Pool,No Fence,None,0,3,2010,WD,Normal,17,16,3565,2949
1625,20,RL,74,13008,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,6,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Fa,Fa,No,Rec,564,Unf,318,882,GasA,TA,Y,SBrkr,882,0,882,1446,0,1,1,2,1,TA,4,5,Typ,0,No Fireplace,Attchd,1956,Unf,1,TA,TA,Y,0,0,0,0,No Pool,No Fence,None,0,10,2009,WD,Normal,53,53,2266,1764
1626,20,RL,85,10200,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,1Story,6,1974,1974,Hip,CompShg,Plywood,Plywood,BrkFace,440,TA,TA,CBlock,TA,TA,No,LwQ,844,Unf,590,1434,GasA,TA,Y,SBrkr,1434,0,1434,2278,1,2,3,4,1,TA,8,7,Typ,1,Gd,Attchd,1974,RFn,2,TA,TA,Y,80,21,21,0,No Pool,No Fence,None,0,6,2009,WD,Normal,35,35,3836,2868
1627,60,RL,88,10179,Pave,No Alley Access,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,ALQ,847,Unf,98,945,GasA,Ex,Y,SBrkr,945,663,1608,2455,0,2.5,2.5,3,1,TA,7,7,Typ,1,TA,Attchd,1997,Fin,2,TA,TA,Y,252,30,30,0,No Pool,No Fence,None,0,7,2009,WD,Normal,12,12,3023,2553
1628,60,RL,0,11792,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,188,Gd,TA,PConc,Gd,TA,Gd,GLQ,850,Unf,158,1008,GasA,Ex,Y,SBrkr,1008,1275,2283,3133,0,2.5,2.5,4,1,Gd,8,9,Typ,1,Gd,BuiltIn,2003,Fin,3,TA,TA,Y,120,46,46,0,No Pool,No Fence,None,0,8,2009,WD,Normal,6,6,4111,3291
1629,80,RL,60,8400,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,1996,1997,Gable,CompShg,HdBoard,HdBoard,BrkFace,32,TA,TA,PConc,Gd,TA,No,GLQ,284,Unf,100,384,GasA,Gd,Y,SBrkr,958,670,1628,1912,0,2.5,2.5,3,1,TA,7,7,Typ,1,TA,BuiltIn,1996,Fin,2,TA,TA,Y,48,72,72,0,No Pool,No Fence,Shed,490,6,2009,WD,Normal,13,12,2434,2012
1630,120,RL,28,7296,Pave,No Alley Access,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,2004,2005,Gable,CompShg,CemntBd,CemntBd,None,0,Gd,TA,PConc,Ex,TA,Av,GLQ,1965,Unf,243,2208,GasA,Ex,Y,SBrkr,2522,0,2522,4487,1,2,3,1,1,Gd,5,8,Typ,1,Gd,Attchd,2004,Fin,2,TA,TA,Y,182,57,57,0,No Pool,No Fence,None,0,11,2009,WD,Normal,5,4,5294,4730
1631,120,RL,61,7380,Pave,No Alley Access,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,8,1998,1998,Gable,CompShg,CemntBd,CemntBd,None,0,TA,TA,PConc,Gd,TA,Av,GLQ,341,Unf,1077,1418,GasA,Ex,Y,SBrkr,1478,0,1478,1819,1,2,3,2,1,TA,6,5,Typ,0,No Fireplace,Attchd,1998,Fin,2,TA,TA,Y,168,43,43,0,No Pool,No Fence,None,0,7,2009,WD,Normal,11,11,3391,2896
1632,120,RL,57,8013,Pave,No Alley Access,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,1995,1996,Gable,CompShg,CemntBd,CemntBd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,741,Unf,846,1587,GasA,Ex,Y,SBrkr,1734,0,1734,2475,1,2,3,2,1,Gd,6,6,Typ,0,No Fireplace,Attchd,1995,RFn,2,TA,TA,Y,52,50,50,0,No Pool,No Fence,None,0,9,2009,WD,Normal,14,13,3849,3321
1633,80,RL,57,8923,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,189,Unf,195,384,GasA,Gd,Y,SBrkr,751,631,1382,1571,0,2.5,2.5,3,1,TA,7,7,Typ,1,TA,BuiltIn,1998,Fin,2,TA,TA,Y,256,0,0,0,No Pool,No Fence,None,0,2,2009,WD,Normal,11,11,2162,1766
1634,60,RL,60,7500,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,476,Unf,476,952,GasA,Gd,Y,SBrkr,952,684,1636,2112,1,2.5,3.5,3,1,TA,8,7,Typ,1,TA,Attchd,1998,Fin,2,TA,TA,Y,0,84,84,0,No Pool,No Fence,None,0,10,2009,WD,Normal,11,10,3028,2588
1635,60,RL,0,8803,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1994,1995,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,No,GLQ,600,Unf,107,707,GasA,Gd,Y,SBrkr,707,809,1516,2116,1,2.5,3.5,3,1,Gd,8,7,Typ,1,TA,Attchd,1994,Fin,2,TA,TA,Y,0,46,46,0,No Pool,No Fence,None,0,7,2009,WD,Normal,15,14,2632,2223
1636,20,RL,58,7250,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,1993,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,45,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,1181,1181,GasA,Ex,Y,SBrkr,1190,0,1190,1190,0,2,2,3,1,Gd,6,6,Typ,1,TA,Attchd,1993,Unf,2,TA,TA,Y,0,21,21,0,No Pool,No Fence,None,0,11,2009,WD,Normal,16,16,2846,2371
1637,60,RL,85,11900,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,1977,1977,Gable,CompShg,HdBoard,Wd Sdng,BrkFace,157,TA,TA,PConc,Gd,TA,No,ALQ,400,Unf,722,1122,GasA,Ex,Y,SBrkr,946,988,1934,2334,1,2.5,3.5,3,1,TA,8,6,Typ,1,TA,Attchd,1977,Unf,2,TA,TA,P,0,176,376,0,No Pool,No Fence,None,0,7,2009,WD,Normal,32,32,3780,3056
1638,60,RL,0,13250,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRNn,Norm,1Fam,2Story,7,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkFace,256,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,832,832,GasA,TA,Y,SBrkr,1154,896,2050,2050,0,2.5,2.5,4,1,Gd,8,8,Typ,1,TA,Attchd,1978,RFn,2,TA,TA,Y,192,192,192,0,No Pool,No Fence,None,0,5,2009,WD,Abnorml,31,31,3667,2882
1639,20,RL,80,10928,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,1978,1986,Gable,CompShg,VinylSd,VinylSd,BrkFace,101,TA,TA,PConc,TA,TA,No,LwQ,363,Unf,1064,1427,GasA,TA,Y,SBrkr,1671,0,1671,2034,0,2,2,3,1,TA,6,7,Typ,1,TA,Attchd,1978,RFn,2,TA,TA,Y,252,55,55,0,No Pool,No Fence,None,0,8,2009,WD,Normal,31,23,3683,3098
1640,60,RL,0,12388,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,1980,1991,Gable,CompShg,Plywood,Plywood,BrkFace,229,TA,TA,CBlock,Gd,TA,No,ALQ,602,Unf,441,1043,GasA,TA,Y,SBrkr,1539,1134,2673,3275,0,2.5,2.5,4,1,Gd,8,9,Typ,1,TA,BuiltIn,1980,RFn,2,TA,TA,Y,178,84,84,0,No Pool,No Fence,None,0,8,2009,WD,Normal,29,18,4386,3716
1641,20,RL,80,11088,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,1978,1998,Gable,CompShg,HdBoard,HdBoard,BrkFace,144,TA,TA,PConc,TA,TA,No,ALQ,832,Unf,308,1140,GasA,Gd,Y,SBrkr,1707,0,1707,2539,0,2,2,3,1,TA,6,7,Typ,1,TA,Attchd,1978,Fin,2,TA,TA,Y,0,0,0,0,No Pool,No Fence,None,0,5,2009,WD,Normal,31,11,3470,2847
1642,60,FV,70,7000,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,2003,2003,Gable,CompShg,CemntBd,CemntBd,None,0,Gd,TA,PConc,Gd,TA,Mn,GLQ,622,Unf,304,926,GasA,Ex,Y,SBrkr,1016,868,1884,2506,1,2.5,3.5,3,1,Ex,8,7,Typ,1,Ex,Attchd,2003,RFn,2,TA,TA,Y,0,35,35,0,No Pool,No Fence,None,0,6,2009,WD,Normal,6,6,3391,2810
1643,60,FV,0,7500,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Somerst,RRNn,Norm,1Fam,2Story,8,2000,2001,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1058,1058,GasA,Ex,Y,SBrkr,1058,816,1874,1874,0,2.5,2.5,3,1,Gd,7,7,Typ,1,TA,Attchd,2000,Fin,2,TA,TA,Y,0,134,134,0,No Pool,No Fence,None,0,3,2009,WD,Normal,9,8,3520,2932
1644,60,FV,0,8470,Pave,No Alley Access,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,225,ALQ,471,972,GasA,Ex,Y,SBrkr,972,839,1811,2312,0,2.5,2.5,3,1,Gd,7,7,Typ,1,Gd,Attchd,2002,RFn,2,TA,TA,Y,225,48,48,0,No Pool,No Fence,None,0,10,2009,WD,Normal,7,7,3348,2783
1645,20,RL,0,9373,Pave,No Alley Access,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,PosN,Norm,1Fam,1Story,5,1975,1975,Gable,CompShg,HdBoard,HdBoard,BrkFace,161,TA,TA,CBlock,Gd,TA,Av,ALQ,1333,LwQ,120,1621,GasA,TA,Y,SBrkr,1621,0,1621,3122,1,2,3,3,1,TA,7,7,Typ,2,Fa,Attchd,1975,RFn,2,TA,TA,Y,0,0,490,0,No Pool,No Fence,None,0,6,2009,WD,Normal,34,34,3881,3242
1646,20,RL,78,10140,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,1974,1974,Hip,CompShg,Plywood,Plywood,BrkFace,196,TA,TA,CBlock,TA,TA,No,ALQ,888,Unf,228,1116,GasA,Ex,Y,SBrkr,1116,0,1116,2004,1,2,3,3,1,TA,7,6,Typ,1,TA,Attchd,1974,RFn,2,TA,TA,Y,0,0,0,0,No Pool,GdWo,None,0,4,2009,WD,Normal,35,35,2956,2232
